Client Started

Logged in as: mrhellomeo

Chat id: -1002186513225

46607/46607 bytes (100.00%) (utils.py:progress_callback:224)

Response elastic: {'_index': 'telegram_index', '_id': 'd8fd3b9a-b67a-4836-8ce5-fc371704ce97', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 32, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'abf9cd12-2b28-4430-80a5-8516c5443351', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 33, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'f9e2281a-0f17-4686-b83b-c8b4c3403f50', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 34, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'ec98fb65-35c8-4fbe-9155-6daa88260553', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 35, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'e89ab32b-45a4-41ac-a937-2bb64880073e', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 36, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '9469f423-e9b5-4bca-8b84-a2ff59a66b25', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 37, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '582c4b3a-fa6a-4de1-a825-915f532d3b5d', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 38, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': 'a082ec23-ec47-40bf-9daf-4426398e93c0', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 39, '_primary_term': 1} (utils.py:upload_data:268)

Response elastic: {'_index': 'telegram_index', '_id': '00f93380-0715-4479-b80f-388674cc20af', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 40, '_primary_term': 1} (utils.py:upload_data:268)

